21/06/11/ 13:17:03
Gain= 10dB   HPF=30kHz
Mode=10msecモード
　　
Time,Number,Amplitude(mV),Energy,RMS(mV)
13:17:03:9, 0, 176, 2840926, 39,
13:17:03:9, 1, 258, 4089389, 39,
13:17:03:9, 2, 225, 2996605, 39,
13:17:03:9, 3, 295, 4029880, 39,
13:17:03:9, 4, 157, 2742822, 39,
13:17:03:9, 5, 217, 3210107, 39,
13:17:03:9, 6, 166, 2808752, 39,
13:17:04:0, 7, 184, 2927790, 39,
13:17:04:0, 8, 206, 3010192, 39,
13:17:04:0, 9, 177, 2719972, 39,
13:17:04:0, 10, 175, 2597504, 39,
13:17:04:0, 11, 170, 2195861, 39,
13:17:04:0, 12, 146, 2405622, 39,
13:17:04:0, 13, 149, 2328233, 39,
13:17:04:0, 14, 167, 2514099, 39,
13:17:04:0, 15, 137, 2288581, 39,
13:17:04:0, 16, 130, 2205214, 39,
13:17:04:0, 17, 125, 2048580, 39,
13:17:04:0, 18, 130, 2073287, 39,
13:17:04:0, 19, 129, 2223252, 39,
13:17:04:0, 20, 133, 2171568, 39,
13:17:04:0, 21, 135, 2331422, 39,
13:17:04:0, 22, 126, 2158040, 39,
13:17:04:0, 23, 123, 2208619, 39,
13:17:04:0, 24, 204, 2441498, 39,
13:17:04:1, 25, 132, 2318766, 39,
13:17:04:1, 26, 119, 2163881, 39,
13:17:04:1, 27, 139, 2136343, 39,
13:17:04:1, 28, 135, 2526290, 39,
13:17:04:1, 29, 134, 2217389, 39,
13:17:04:1, 30, 148, 2449734, 39,
13:17:04:1, 31, 121, 2258407, 39,
13:17:04:1, 32, 146, 2115388, 39,
13:17:04:1, 33, 363, 2468283, 39,
13:17:04:1, 34, 311, 3413012, 39,
13:17:04:1, 35, 133, 2205999, 39,
13:17:04:1, 36, 140, 2313694, 39,
13:17:04:1, 37, 130, 2307004, 39,
13:17:04:2, 38, 110, 2150754, 39,
13:17:04:2, 39, 129, 2166807, 39,
13:17:04:2, 40, 129, 2161648, 39,
13:17:04:2, 41, 129, 2315467, 39,
13:17:04:2, 42, 156, 2563612, 39,
13:17:04:2, 43, 682, 7383742, 78,
13:17:04:2, 44, 314, 4941168, 39,
13:17:04:2, 45, 389, 5032362, 39,
13:17:04:2, 46, 139, 2531956, 39,
13:17:04:2, 47, 123, 2300337, 39,
13:17:04:3, 48, 115, 2137726, 39,
13:17:04:3, 49, 353, 3131450, 39,
13:17:04:3, 50, 548, 8068175, 78,
13:17:04:3, 51, 920, 10582156, 117,
13:17:04:3, 52, 4924, 80156193, 1094,
13:17:04:3, 53, 4711, 61786913, 703,
13:17:04:3, 54, 1440, 15602559, 195,
13:17:04:3, 55, 337, 4955204, 39,
13:17:04:3, 56, 194, 2917240, 39,
13:17:04:3, 57, 363, 4739982, 39,
13:17:04:4, 58, 263, 3223706, 39,
13:17:04:4, 59, 129, 2229452, 39,
13:17:04:4, 60, 139, 2167731, 39,
13:17:04:4, 61, 112, 2079331, 39,
13:17:04:4, 62, 200, 2328073, 39,
13:17:04:4, 63, 190, 2741815, 39,
13:17:04:4, 64, 212, 2832836, 39,
13:17:04:4, 65, 131, 2222317, 39,
13:17:04:4, 66, 133, 2098437, 39,
13:17:04:4, 67, 181, 2342950, 39,
13:17:04:5, 68, 126, 1983984, 39,
13:17:04:5, 69, 127, 2017156, 39,
13:17:04:5, 70, 180, 2142788, 39,
13:17:04:5, 71, 117, 2199485, 39,
13:17:04:5, 72, 132, 2400908, 39,
13:17:04:5, 73, 137, 2362942, 39,
13:17:04:5, 74, 113, 1927449, 39,
13:17:04:5, 75, 128, 1922185, 39,
13:17:04:5, 76, 107, 1969818, 39,
13:17:04:5, 77, 104, 1917953, 39,
13:17:04:6, 78, 128, 2185881, 39,
13:17:04:6, 79, 106, 2052603, 39,
13:17:04:6, 80, 113, 2024446, 39,
13:17:04:6, 81, 104, 2014228, 39,
13:17:04:6, 82, 120, 2000354, 39,
13:17:04:6, 83, 119, 2063629, 39,
13:17:04:6, 84, 138, 2356159, 39,
13:17:04:6, 85, 106, 1997828, 39,
13:17:04:6, 86, 106, 1973190, 39,
13:17:04:6, 87, 342, 3875910, 39,
13:17:04:7, 88, 1063, 7402330, 117,
13:17:04:7, 89, 475, 5057945, 78,
13:17:04:7, 90, 1252, 8988813, 117,
13:17:04:7, 91, 998, 14827850, 156,
13:17:04:7, 92, 4939, 89798528, 1133,
13:17:04:7, 93, 4675, 50558987, 703,
13:17:04:7, 94, 935, 10480881, 117,
13:17:04:7, 95, 594, 4592700, 39,
13:17:04:7, 96, 154, 2597855, 39,
13:17:04:7, 97, 2625, 9400467, 195,
13:17:04:8, 98, 2652, 17296687, 234,
13:17:04:8, 99, 198, 2689977, 39,
13:17:04:8, 100, 113, 2022500, 39,
13:17:04:8, 101, 184, 2722092, 39,
13:17:04:8, 102, 137, 2330773, 39,
13:17:04:8, 103, 103, 1880355, 39,
13:17:04:8, 104, 118, 1990954, 39,
13:17:04:8, 105, 406, 4465041, 39,
13:17:04:8, 106, 165, 2502340, 39,
13:17:04:8, 107, 125, 2133715, 39,
13:17:04:9, 108, 137, 2161196, 39,
13:17:04:9, 109, 120, 2050706, 39,
13:17:04:9, 110, 122, 2210911, 39,
13:17:04:9, 111, 114, 2073480, 39,
13:17:04:9, 112, 325, 4528786, 39,
13:17:04:9, 113, 146, 2468863, 39,
13:17:04:9, 114, 111, 2008685, 39,
13:17:04:9, 115, 108, 2048082, 39,
13:17:04:9, 116, 140, 2037030, 39,
13:17:04:9, 117, 188, 2410111, 39,
13:17:05:0, 118, 127, 2196965, 39,
13:17:05:0, 119, 117, 1982828, 39,
13:17:05:0, 120, 116, 2244430, 39,
13:17:05:0, 121, 131, 2129724, 39,
13:17:05:0, 122, 106, 1985391, 39,
13:17:05:0, 123, 123, 2023077, 39,
13:17:05:0, 124, 118, 2004276, 39,
13:17:05:0, 125, 109, 2013463, 39,
13:17:05:0, 126, 115, 2072851, 39,
13:17:05:0, 127, 140, 2178930, 39,
13:17:05:1, 128, 130, 2137924, 39,
13:17:05:1, 129, 162, 2516140, 39,
13:17:05:1, 130, 200, 2639690, 39,
13:17:05:1, 131, 123, 2155019, 39,
13:17:05:1, 132, 142, 2241909, 39,
13:17:05:1, 133, 117, 2051952, 39,
13:17:05:1, 134, 219, 2527148, 39,
13:17:05:1, 135, 239, 2636855, 39,
13:17:05:1, 136, 119, 1977556, 39,
13:17:05:1, 137, 121, 2128468, 39,
13:17:05:1, 138, 199, 2468006, 39,
