21/06/11/ 13:10:26
Gain= 20dB   HPF=30kHz
Mode=10msecモード
　　
Time,Number,Amplitude(mV),Energy,RMS(mV)
13:10:27:8, 136, 251, 4497721, 39,
13:10:27:8, 137, 276, 5017761, 39,
13:10:27:8, 138, 264, 4557270, 39,
13:10:27:8, 139, 262, 4248680, 39,
13:10:27:8, 140, 236, 4548010, 39,
13:10:27:8, 141, 316, 4534158, 39,
13:10:27:8, 142, 278, 4483707, 39,
13:10:27:8, 143, 229, 4410291, 39,
13:10:27:9, 144, 313, 4658942, 39,
13:10:27:9, 145, 233, 4264921, 39,
13:10:27:9, 146, 546, 6109738, 78,
13:10:27:9, 147, 276, 4535449, 39,
13:10:27:9, 148, 262, 4692053, 39,
13:10:27:9, 149, 237, 4232647, 39,
13:10:27:9, 150, 229, 4353367, 39,
13:10:27:9, 151, 218, 4270843, 39,
13:10:27:9, 152, 289, 4201193, 39,
13:10:27:9, 153, 222, 4086432, 39,
13:10:28:0, 154, 223, 3984118, 39,
13:10:28:0, 155, 244, 4299658, 39,
13:10:28:0, 156, 242, 4142433, 39,
13:10:28:0, 157, 234, 4423180, 39,
13:10:28:0, 158, 206, 4215111, 39,
13:10:28:0, 159, 261, 4267097, 39,
13:10:28:0, 160, 236, 4009147, 39,
13:10:28:0, 161, 276, 4536133, 39,
13:10:28:0, 162, 239, 4652273, 39,
13:10:28:0, 163, 244, 4412276, 39,
13:10:28:0, 164, 257, 4216527, 39,
13:10:28:1, 165, 255, 4511814, 39,
13:10:28:1, 166, 281, 4645186, 39,
13:10:28:1, 167, 358, 5243406, 39,
13:10:28:1, 168, 280, 4564646, 39,
13:10:28:1, 169, 292, 4691194, 39,
13:10:28:1, 170, 250, 4500906, 39,
13:10:28:1, 171, 284, 4761538, 39,
13:10:28:1, 172, 343, 4846839, 39,
13:10:28:1, 173, 284, 4503447, 39,
13:10:28:2, 174, 256, 4292033, 39,
13:10:28:2, 175, 242, 4352140, 39,
13:10:28:2, 176, 252, 4320613, 39,
13:10:28:2, 177, 245, 4426750, 39,
13:10:28:2, 178, 282, 4507962, 39,
13:10:28:2, 179, 266, 4333725, 39,
13:10:28:2, 180, 268, 4283434, 39,
13:10:28:2, 181, 230, 4163640, 39,
13:10:28:2, 182, 257, 4310105, 39,
13:10:28:2, 183, 267, 4509487, 39,
13:10:28:3, 184, 248, 4265871, 39,
13:10:28:3, 185, 376, 4899336, 39,
13:10:28:3, 186, 335, 5071539, 39,
13:10:28:3, 187, 271, 4904421, 39,
13:10:28:3, 188, 234, 4364751, 39,
13:10:28:3, 189, 272, 4394727, 39,
13:10:28:3, 190, 248, 4257550, 39,
13:10:28:3, 191, 237, 4538088, 39,
13:10:28:3, 192, 250, 4621447, 39,
13:10:28:3, 193, 253, 4332163, 39,
13:10:28:4, 194, 225, 4538363, 39,
13:10:28:4, 195, 311, 4461560, 39,
13:10:28:4, 196, 228, 4524676, 39,
13:10:28:4, 197, 300, 4438066, 39,
13:10:28:4, 198, 236, 4345952, 39,
13:10:28:4, 199, 231, 4445920, 39,
13:10:28:4, 200, 255, 4565679, 39,
13:10:28:4, 201, 311, 4757674, 39,
13:10:28:4, 202, 259, 4652277, 39,
13:10:28:4, 203, 275, 4620034, 39,
13:10:28:4, 204, 225, 4380222, 39,
13:10:28:5, 205, 281, 4370261, 39,
13:10:28:5, 206, 255, 4563168, 39,
13:10:28:5, 207, 283, 4460630, 39,
13:10:28:5, 208, 258, 4403450, 39,
13:10:28:5, 209, 253, 4175522, 39,
13:10:28:5, 210, 236, 4285185, 39,
13:10:28:5, 211, 251, 4359894, 39,
13:10:28:5, 212, 250, 4195774, 39,
13:10:28:5, 213, 330, 4410107, 39,
13:10:28:5, 214, 283, 4750266, 39,
13:10:28:6, 215, 254, 4183963, 39,
13:10:28:6, 216, 252, 4427772, 39,
13:10:28:6, 217, 228, 4419330, 39,
13:10:28:6, 218, 251, 4179978, 39,
13:10:28:6, 219, 269, 4389640, 39,
13:10:28:6, 220, 258, 4888234, 39,
13:10:28:6, 221, 272, 4585490, 39,
13:10:28:6, 222, 320, 4263920, 39,
13:10:28:6, 223, 242, 4706338, 39,
13:10:28:6, 224, 258, 4489750, 39,
13:10:28:7, 225, 269, 4704613, 39,
13:10:28:7, 226, 262, 4607361, 39,
13:10:28:7, 227, 259, 4753834, 39,
13:10:28:7, 228, 269, 4420584, 39,
13:10:28:7, 229, 280, 4445744, 39,
13:10:28:7, 230, 269, 4551411, 39,
13:10:28:7, 231, 222, 4101445, 39,
13:10:28:7, 232, 259, 4145241, 39,
13:10:28:7, 233, 297, 4178204, 39,
13:10:28:7, 234, 245, 4248290, 39,
13:10:28:8, 235, 237, 4102500, 39,
13:10:28:8, 236, 244, 4410787, 39,
13:10:28:8, 237, 228, 3949201, 39,
13:10:28:8, 238, 237, 4285454, 39,
13:10:28:8, 239, 209, 4295263, 39,
13:10:28:8, 240, 253, 4490676, 39,
13:10:28:8, 241, 267, 4335884, 39,
13:10:28:8, 242, 293, 4986359, 39,
13:10:28:8, 243, 258, 4631723, 39,
13:10:28:8, 244, 250, 4436065, 39,
13:10:28:9, 245, 265, 4603818, 39,
13:10:28:9, 246, 258, 4264520, 39,
13:10:28:9, 247, 290, 4548321, 39,
13:10:28:9, 248, 368, 5093447, 39,
13:10:28:9, 249, 297, 4781711, 39,
13:10:28:9, 250, 230, 4389230, 39,
13:10:28:9, 251, 405, 5503415, 78,
13:10:28:9, 252, 317, 4428859, 39,
13:10:28:9, 253, 311, 4745960, 39,
13:10:28:9, 254, 266, 4546018, 39,
13:10:29:0, 255, 264, 4734102, 39,
13:10:29:0, 256, 235, 4196552, 39,
13:10:29:0, 257, 237, 4490024, 39,
